model,fold,test_pid,group_overlap,dup_rows,train_acc_leaky,test_acc_leaky,gap_leaky,train_acc_clean,test_acc_clean,gap_clean,leak_gain_test
XGB+LGB_Ensemble,1,1,0,0,0.999984778604807,0.6413131313131313,0.35867164729167567,0.9999695572096138,0.9994949494949495,0.00047460771466423246,-0.35818181818181827
XGB+LGB_Ensemble,2,2,0,0,0.99993993723441,0.5972222222222222,0.4027177150121878,0.999969968617205,0.9993333333333333,0.0006366352838717004,-0.4021111111111111
XGB+LGB_Ensemble,3,3,0,0,0.9999259226335986,0.9508641975308642,0.04906172510273443,0.999896291687038,1.0,-0.00010370831296202532,-0.04913580246913585
XGB+LGB_Ensemble,4,4,0,0,0.9999259226335986,0.7882716049382716,0.21165431769532694,0.999896291687038,1.0,-0.00010370831296202532,-0.21172839506172836
XGB+LGB_Ensemble,5,5,0,0,0.9999555535801591,0.9390123456790124,0.06094320790114671,0.9998518452671971,0.9988888888888889,0.0009629563783081219,-0.059876543209876565
XGB+LGB_Ensemble,6,6,0,0,0.9999422782764293,0.9798380695348468,0.020104208741582585,0.9998989869837513,0.9650738212414669,0.03482516574228445,0.014764248293379856
XGB+LGB_Ensemble,7,7,0,0,0.9999561397096449,0.7704918032786885,0.22946433643095643,0.9998684191289346,0.7932759099749931,0.20659250915394156,-0.022784106696304596
XGB+LGB_Ensemble,8,8,0,0,0.9999561384271239,0.8595833333333334,0.14037280509379058,0.999883035805664,0.9908333333333333,0.009049702472330612,-0.13124999999999998
XGB+LGB_Ensemble,9,9,0,0,0.9999718694178376,0.8822222222222222,0.11774964719561531,0.999929673544594,0.9966666666666667,0.0032630068779273547,-0.11444444444444446
XGB+LGB_Ensemble,10,10,0,0,0.9999722210647666,0.7416666666666667,0.2583055543980999,0.9998749947914496,0.7419444444444444,0.2579305503470052,-0.0002777777777777102
XGB+LGB_Ensemble,11,11,0,0,0.9999583315971499,0.6980555555555555,0.3019027760415943,0.9998888842590663,0.715,0.28488888425906633,-0.01694444444444443
