window_size,accuracy,n_samples,stage0_f1,stage1_f1,stage2_f1,stage3_f1
60,0.9801543209876543,403,0.9923076923076923,0.9789473684210527,0.9565217391304348,0.981651376146789
90,0.9665269042627532,268,0.9828571428571429,0.9523809523809523,0.9318181818181818,0.9795918367346939
120,0.945,200,0.9629629629629629,0.9247311827956989,0.9117647058823529,0.9615384615384616
150,0.94375,160,0.9811320754716981,0.9333333333333333,0.8627450980392157,0.9545454545454546
180,0.9327635327635327,133,0.9882352941176471,0.9523809523809523,0.8333333333333334,0.9142857142857143
240,0.8489473684210527,99,0.918918918918919,0.7916666666666666,0.6923076923076923,0.88
