window_size,accuracy,accuracy_std,n_samples,n_errors,improvement,stage0_f1,stage1_f1,stage2_f1,stage3_f1
50,0.9958762886597938,0.008247422680412387,484,2,-0.00012371134020616736,1.0,1.0,0.9879518072289156,0.9923664122137404
45,0.9907061266874351,4.239338426414059e-05,538,5,-0.005293873312564923,0.9971014492753624,0.984251968503937,0.9787234042553191,0.9965397923875432
35,0.979762277134814,0.012400734508897088,691,14,-0.01623772286518599,0.9910714285714286,0.9661538461538461,0.9620253164556962,0.989247311827957
40,0.9735537190082646,0.016856262854852172,605,16,-0.0224462809917354,0.9847715736040609,0.9716312056737588,0.9519230769230769,0.9754601226993865
