timestamp_ms,MQ2_raw,MQ3_raw,MQ9_raw,MQ135_raw,TGS2602_raw,Temp_C,Humidity_pct,Pressure_hPa
302379,141,99,227,139,409,21.07,71.15,1005.24
303379,142,99,228,139,409,21.07,71.17,1005.24
304379,142,99,227,139,408,21.07,71.16,1005.29
305379,142,99,228,139,409,21.06,71.1,1005.26
306379,142,99,227,139,409,21.07,71.08,1005.25
307379,142,99,227,139,408,21.06,71.03,1005.24
308379,142,99,227,139,408,21.07,71,1005.25
309379,142,99,228,139,409,21.07,70.99,1005.25
310379,142,99,227,139,408,21.07,71.05,1005.23
311379,142,99,227,139,408,21.07,71.12,1005.23
312379,142,99,227,139,408,21.07,71.23,1005.23
313379,141,99,227,139,408,21.06,71.33,1005.25
314379,141,99,227,139,409,21.06,71.4,1005.27
315379,141,99,227,138,408,21.07,71.39,1005.25
316379,141,99,227,139,408,21.07,71.33,1005.25
317379,142,99,227,138,408,21.06,71.25,1005.19
318379,142,99,227,138,409,21.06,71.16,1005.2
319379,142,99,227,138,408,21.06,71.08,1005.23
320379,142,99,227,138,408,21.06,70.98,1005.24
321379,142,99,228,139,408,21.06,70.94,1005.23
322379,141,99,228,139,409,21.06,70.95,1005.25
323379,141,99,228,138,408,21.06,71.04,1005.23
324379,141,99,228,139,409,21.06,71.16,1005.25
325379,142,99,228,139,409,21.06,71.25,1005.23
326379,142,99,227,139,408,21.07,71.32,1005.23
327379,141,99,228,139,408,21.06,71.4,1005.2
328379,142,99,228,139,408,21.06,71.45,1005.25
329379,142,99,228,139,408,21.06,71.52,1005.26
330379,142,99,228,139,409,21.07,71.57,1005.24
331379,142,99,228,139,408,21.06,71.61,1005.22
332379,142,99,228,139,408,21.07,71.66,1005.22
333379,142,99,228,139,408,21.07,71.71,1005.24
334379,142,99,228,139,409,21.07,71.73,1005.27
335379,142,99,229,139,408,21.07,71.76,1005.23
336379,142,99,229,139,408,21.07,71.79,1005.21
337379,142,99,229,139,408,21.07,71.8,1005.26
338379,142,99,229,139,408,21.07,71.83,1005.25
339379,143,99,229,139,408,21.07,71.84,1005.27
340379,142,99,230,139,408,21.07,71.84,1005.27
341379,142,99,230,139,409,21.07,71.83,1005.27
342379,143,99,230,139,408,21.07,71.77,1005.27
343379,143,99,230,140,408,21.07,71.66,1005.28
344379,143,99,230,140,409,21.07,71.54,1005.25
345379,143,99,230,140,409,21.07,71.43,1005.27
346379,143,99,230,140,409,21.06,71.36,1005.25
347379,143,99,230,140,408,21.07,71.33,1005.28
348379,143,99,230,140,408,21.07,71.33,1005.28
349379,142,99,230,140,409,21.07,71.31,1005.28
350379,143,99,230,140,408,21.07,71.26,1005.28
351379,143,99,230,140,409,21.07,71.25,1005.28
352379,143,99,230,139,408,21.07,71.21,1005.29
353379,143,99,229,140,408,21.07,71.18,1005.27
354379,143,99,230,140,408,21.07,71.14,1005.26
355379,143,99,229,139,408,21.07,71.11,1005.28
356379,142,99,229,139,408,21.07,71.14,1005.26
357379,143,100,229,139,409,21.06,71.23,1005.25
358379,142,99,229,139,408,21.06,71.33,1005.29
359379,142,99,229,139,409,21.07,71.4,1005.26
360379,142,99,229,139,408,21.07,71.43,1005.27
361379,142,99,229,139,408,21.07,71.44,1005.3
362379,142,99,229,139,409,21.07,71.45,1005.28
363379,142,99,229,139,408,21.07,71.43,1005.3
364379,142,99,229,139,408,21.07,71.36,1005.29
365379,142,99,229,139,408,21.06,71.27,1005.23
366379,142,99,229,139,409,21.07,71.19,1005.28
367379,142,99,229,139,409,21.07,71.1,1005.24
368379,142,99,229,139,408,21.07,71.04,1005.28
369379,142,99,229,139,409,21.06,70.96,1005.29
370379,142,99,229,139,408,21.06,70.87,1005.26
371379,142,99,228,139,408,21.06,70.82,1005.29
372379,142,99,229,139,408,21.07,70.82,1005.28
373379,142,99,228,139,408,21.06,70.88,1005.27
374379,142,99,228,139,408,21.07,70.99,1005.3
375379,142,99,228,139,409,21.06,71.04,1005.28
376379,142,99,228,138,409,21.07,71.07,1005.26
377379,142,99,228,139,409,21.07,71.09,1005.28
378379,142,99,228,139,408,21.06,71.06,1005.27
379379,142,99,228,138,408,21.07,71.01,1005.26
380379,142,99,228,138,408,21.07,70.94,1005.3
381379,142,99,228,138,408,21.06,70.97,1005.31
382379,142,99,228,138,408,21.06,71.04,1005.24
383379,141,99,227,139,409,21.06,71.16,1005.28
384379,141,99,227,138,408,21.07,71.26,1005.24
385379,142,99,227,138,408,21.07,71.36,1005.25
386379,142,99,227,138,409,21.07,71.42,1005.27
387379,142,99,227,139,409,21.06,71.45,1005.26
388379,142,99,228,138,409,21.07,71.47,1005.25
389379,142,99,227,138,409,21.06,71.47,1005.21
390379,142,99,228,139,408,21.06,71.47,1005.24
391379,142,99,228,139,408,21.07,71.42,1005.24
392379,142,99,228,139,409,21.06,71.3,1005.25
393379,142,99,228,139,409,21.06,71.17,1005.26
394379,142,99,228,139,408,21.06,71.04,1005.28
395379,142,99,228,139,408,21.06,70.94,1005.26
396379,142,99,228,139,409,21.06,70.85,1005.26
397379,142,99,228,139,409,21.06,70.83,1005.27
398379,142,99,228,139,408,21.06,70.81,1005.27
399379,141,99,228,139,408,21.06,70.83,1005.28
400379,142,99,228,139,409,21.06,70.94,1005.26
401379,142,99,227,139,409,21.06,71.04,1005.25
402379,141,99,227,139,408,21.06,71.15,1005.24
403379,142,99,227,139,409,21.06,71.19,1005.26
404379,141,99,227,138,408,21.06,71.17,1005.24
405379,142,99,227,139,409,21.06,71.09,1005.29
406379,142,99,227,139,408,21.06,71.03,1005.28
407379,142,99,227,139,408,21.06,71.02,1005.27
408379,141,99,227,138,408,21.06,71.04,1005.27
409379,141,99,227,139,408,21.06,71.04,1005.25
410379,141,99,227,139,409,21.05,71.03,1005.26
411379,142,99,227,138,408,21.06,71.01,1005.28
412379,141,99,227,138,409,21.06,70.97,1005.29
413379,141,99,227,138,408,21.05,70.98,1005.28
414379,141,99,227,138,408,21.06,71.03,1005.29
