feature,importance
MQ135_auc,0.04603539233614711
MQ135_TGS2602_ratio,0.03903122555028408
MQ9_auc,0.03775488965087866
TGS2602_auc,0.03676579333082205
MQ135_mean,0.03650699630759476
MQ135_max,0.03592372797558751
MQ135_min,0.03577285521266942
MQ3_delta_mean,0.03512953337368134
MQ3_auc,0.0345816240994853
MQ9_min,0.03350298270929866
MQ3_max,0.03265887665271773
MQ9_mean,0.03262069355749867
MQ3_MQ2_ratio,0.03160114614996537
TGS2602_mean,0.03133947664379136
MQ9_max,0.029484619724408485
MQ3_mean,0.02906698426697014
TGS2602_min,0.029059701494599702
MQ3_min,0.028789773165881716
TGS2602_delta_mean,0.028237028223935513
all_sensors_mean,0.026478127527864825
TGS2602_max,0.026149895201106377
MQ2_delta_mean,0.02438325958857624
MQ2_mean,0.02346993810967274
MQ2_auc,0.021286214703340214
MQ2_max,0.018792060758352064
MQ2_min,0.018721213180594515
MQ135_delta_mean,0.01844530700540338
MQ9_delta_mean,0.017959112707112104
MQ3_delta_max_abs,0.01741057177745342
MQ9_delta_max_abs,0.015337609439062169
MQ2_delta_max_abs,0.015280029895725867
TGS2602_delta_max_abs,0.011931778650955675
MQ135_delta_max_abs,0.007883347421377996
MQ2_delta_std,0.007543881415774508
TGS2602_delta_std,0.006715649971315156
MQ2_std,0.0066895950396718955
MQ2_slope,0.006551575818027463
MQ3_delta_std,0.006502630474284709
MQ3_std,0.005732340997625052
MQ3_slope,0.005681139839923479
TGS2602_std,0.005424271133673023
MQ9_delta_std,0.00505867054472233
MQ135_slope,0.005002534321035793
MQ135_delta_std,0.004935476286243505
MQ135_std,0.0043397894085015504
MQ2_range,0.0041315389505376405
MQ9_slope,0.00382727309020944
TGS2602_slope,0.0035137440067606316
MQ9_std,0.0032841280247877034
MQ3_range,0.0023799728209568083
TGS2602_range,0.002265285582833687
MQ135_range,0.0016512818789431712
MQ9_range,0.0013774340013574188
