pid,n,acc
1,9900,0.6271717171717172
2,9000,0.5973333333333334
3,8100,0.915679012345679
4,8100,0.7418518518518519
5,8100,0.9618518518518518
6,6299,0.9788855373868868
7,7198,0.7528480133370381
8,7200,0.9156944444444445
9,4500,0.8822222222222222
10,3600,0.3397222222222222
11,3600,0.6927777777777778
