window_sec,window_min,n_samples,n_feasible,feasible_rate,mean_acc,std_acc,vs_baseline
5,0.08333333333333333,15119,11,100.0,94.69915063612812,7.386810551380736,-0.5247364544019462
10,0.16666666666666666,7560,11,100.0,93.16285510224904,9.979836456936049,-2.06103198828103
15,0.25,5040,11,100.0,94.46043771043772,9.818045566757219,-0.7634493800923536
30,0.5,2520,11,100.0,93.28896103896102,9.223546040389845,-1.9349260515690503
60,1.0,1260,11,100.0,93.21212121212122,8.742699958889485,-2.011765878408852
120,2.0,627,11,100.0,94.87084987084987,8.537740935681857,-0.3530372196802034
300,5.0,252,11,100.0,90.14069264069265,12.91760855801558,-5.083194449837421
600,10.0,123,11,100.0,92.4891774891775,14.311435587788612,-2.734709601352577
