window_sec,window_min,n_samples,n_feasible,feasible_rate,mean_acc,std_acc,min_acc,max_acc,vs_baseline
5,0.08333333333333333,15119,11,100.0,96.05654406310113,6.699204389177785,78.75,100.0,0.8326569725710584
10,0.16666666666666666,7560,11,100.0,93.13724182663577,9.958362597964431,70.27777777777777,100.0,-2.0866452638942974
15,0.25,5040,11,100.0,93.58651996151995,9.920171052239176,70.41666666666667,100.0,-1.6373671290101157
30,0.5,2520,11,100.0,92.53138528138528,9.253763814317432,73.33333333333333,100.0,-2.6925018091447868
60,1.0,1260,11,100.0,88.01082251082252,20.99219299974161,25.0,100.0,-7.213064579707549
120,2.0,627,11,100.0,95.46525546525545,7.793451421081637,73.33333333333333,100.0,0.24136837472538275
300,5.0,252,11,100.0,93.54978354978354,10.356187220406952,66.66666666666666,100.0,-1.674103540746529
600,10.0,123,11,100.0,91.73160173160173,14.112985678472869,50.0,100.0,-3.492285358928342
