feature,importance
all_sensors_mean,0.047513783821205996
MQ135_auc,0.045586349283455584
MQ135_TGS2602_ratio,0.04490058619509413
MQ9_mean,0.03587242668611841
TGS2602_mean,0.03586294535335467
MQ9_auc,0.03583232701395008
MQ135_mean,0.035671579211772435
MQ135_max,0.034965271831559445
TGS2602_auc,0.03299526687601863
MQ9_min,0.03286394999978844
MQ135_min,0.03198051244551268
TGS2602_max,0.031576834624307173
MQ3_min,0.030079977771449665
MQ2_delta_mean,0.02943468623012238
MQ2_auc,0.029409777980385167
TGS2602_min,0.02908591321380974
MQ9_max,0.028372115235619128
MQ2_mean,0.028127057628334194
MQ3_MQ2_ratio,0.027884284923482834
MQ3_auc,0.02715257136368193
MQ3_max,0.026701657821436957
MQ2_min,0.025971004092496423
MQ3_delta_mean,0.025084591312513692
TGS2602_delta_mean,0.023930904293392695
MQ3_mean,0.023897770495662843
MQ2_max,0.021076545293326945
MQ135_delta_mean,0.01882998861165899
MQ9_delta_mean,0.017376968838428142
TGS2602_delta_max_abs,0.01550301512559654
MQ2_delta_max_abs,0.01389840447217551
MQ3_delta_max_abs,0.011535675416637572
MQ2_delta_std,0.008622620821288805
MQ9_delta_max_abs,0.008617874261641274
MQ2_std,0.00794364672768324
MQ135_delta_std,0.006459068896709542
TGS2602_delta_std,0.006436761800903524
MQ135_delta_max_abs,0.006013571549111629
MQ135_std,0.006001806049140526
MQ3_delta_std,0.005696431638769263
TGS2602_std,0.005445023264418795
MQ9_delta_std,0.004594102107083288
MQ2_slope,0.004434111702350682
MQ3_slope,0.004424457464676445
MQ3_std,0.004172223629691838
MQ135_slope,0.003814745018703499
TGS2602_slope,0.003806006819827137
MQ9_std,0.0036143860105054054
MQ3_range,0.002864322762387944
MQ9_slope,0.002283366211802826
MQ135_range,0.00152308000325342
MQ9_range,0.0014514034995884403
TGS2602_range,0.0014202714401656358
MQ2_range,0.0013859748579480382
